season_id,season,tier,division,match_id,match_name,date,attendance,team_id,team_name,opponent_id,opponent_name,home_team,away_team,goals_for,goals_against,goal_difference,result,win,loss,draw,note,points
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-050-M,Arsenal Ladies vs Everton Ladies,8/18/2011,NA,T-001-T,Arsenal Ladies,T-013-T,Everton Ladies,1,0,1,0,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-050-M,Arsenal Ladies vs Everton Ladies,8/18/2011,NA,T-013-T,Everton Ladies,T-001-T,Arsenal Ladies,0,1,0,1,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-051-M,Chelsea Ladies vs Bristol Academy,8/18/2011,NA,T-008-T,Chelsea Ladies,T-006-T,Bristol Academy,1,0,0,1,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-051-M,Chelsea Ladies vs Bristol Academy,8/18/2011,NA,T-006-T,Bristol Academy,T-008-T,Chelsea Ladies,0,1,1,0,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-052-M,Doncaster Rovers Belles vs Lincoln Ladies,8/18/2011,310,T-011-T,Doncaster Rovers Belles,T-016-T,Lincoln Ladies,1,0,0,3,-3,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-052-M,Doncaster Rovers Belles vs Lincoln Ladies,8/28/2011,310,T-016-T,Lincoln Ladies,T-011-T,Doncaster Rovers Belles,0,1,3,0,3,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-053-M,Chelsea Ladies vs Everton Ladies,8/28/2011,NA,T-008-T,Chelsea Ladies,T-013-T,Everton Ladies,1,0,1,3,-2,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-053-M,Chelsea Ladies vs Everton Ladies,8/28/2011,NA,T-013-T,Everton Ladies,T-008-T,Chelsea Ladies,0,1,3,1,2,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-054-M,Doncaster Rovers Belles vs Birmingham City Ladies,8/28/2011,254,T-011-T,Doncaster Rovers Belles,T-003-T,Birmingham City Ladies,1,0,2,2,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-054-M,Doncaster Rovers Belles vs Birmingham City Ladies,8/28/2011,254,T-003-T,Birmingham City Ladies,T-011-T,Doncaster Rovers Belles,0,1,2,2,0,Draw,0,0,1,NA,1
